,Compound,Date,Tweets Ago
0,0.5106,Sat Jul 14 06:48:47 +0000 2018,1
1,-0.34,Sat Jul 14 06:32:01 +0000 2018,2
2,0.0,Sat Jul 14 06:02:38 +0000 2018,3
3,0.0,Sat Jul 14 05:46:04 +0000 2018,4
4,-0.5574,Sat Jul 14 05:32:02 +0000 2018,5
5,0.0,Sat Jul 14 05:06:06 +0000 2018,6
6,-0.296,Sat Jul 14 04:55:42 +0000 2018,7
7,-0.5563,Sat Jul 14 04:39:05 +0000 2018,8
8,0.0,Sat Jul 14 04:22:03 +0000 2018,9
9,-0.3182,Sat Jul 14 04:11:38 +0000 2018,10
10,0.8225,Sat Jul 14 04:02:05 +0000 2018,11
11,0.0,Sat Jul 14 03:47:03 +0000 2018,12
12,0.2023,Sat Jul 14 03:39:42 +0000 2018,13
13,-0.5267,Sat Jul 14 03:32:04 +0000 2018,14
14,-0.4019,Sat Jul 14 03:17:02 +0000 2018,15
15,0.8555,Sat Jul 14 03:02:03 +0000 2018,16
16,-0.8807,Sat Jul 14 02:47:06 +0000 2018,17
17,-0.0772,Sat Jul 14 02:32:05 +0000 2018,18
18,-0.6407,Sat Jul 14 02:17:03 +0000 2018,19
19,-0.1779,Sat Jul 14 02:02:03 +0000 2018,20
20,0.2023,Sat Jul 14 01:48:04 +0000 2018,21
21,0.0,Sat Jul 14 01:37:29 +0000 2018,22
22,0.2831,Sat Jul 14 01:32:02 +0000 2018,23
23,0.0,Sat Jul 14 01:17:06 +0000 2018,24
24,0.0,Sat Jul 14 01:02:06 +0000 2018,25
25,-0.5574,Sat Jul 14 00:47:05 +0000 2018,26
26,0.1779,Sat Jul 14 00:32:04 +0000 2018,27
27,0.128,Sat Jul 14 00:17:02 +0000 2018,28
28,0.4215,Sat Jul 14 00:02:05 +0000 2018,29
29,0.0,Fri Jul 13 23:47:05 +0000 2018,30
30,0.7506,Fri Jul 13 23:32:03 +0000 2018,31
31,0.0,Fri Jul 13 23:17:05 +0000 2018,32
32,0.6249,Fri Jul 13 23:02:05 +0000 2018,33
33,0.0,Fri Jul 13 22:47:05 +0000 2018,34
34,0.0,Fri Jul 13 22:32:04 +0000 2018,35
35,0.5859,Fri Jul 13 22:17:03 +0000 2018,36
36,0.0,Fri Jul 13 22:02:01 +0000 2018,37
37,0.4588,Fri Jul 13 21:47:02 +0000 2018,38
38,-0.2263,Fri Jul 13 21:32:05 +0000 2018,39
39,-0.5106,Fri Jul 13 21:11:07 +0000 2018,40
40,0.0,Fri Jul 13 20:55:05 +0000 2018,41
41,-0.2732,Fri Jul 13 20:44:02 +0000 2018,42
42,0.7506,Fri Jul 13 20:33:07 +0000 2018,43
43,0.1779,Fri Jul 13 20:20:06 +0000 2018,44
44,-0.7152,Fri Jul 13 20:10:05 +0000 2018,45
45,0.7178,Fri Jul 13 19:52:04 +0000 2018,46
46,0.431,Fri Jul 13 19:42:06 +0000 2018,47
47,0.2023,Fri Jul 13 19:32:04 +0000 2018,48
48,0.0,Fri Jul 13 19:22:04 +0000 2018,49
49,0.0,Fri Jul 13 19:12:01 +0000 2018,50
50,-0.6124,Fri Jul 13 19:10:14 +0000 2018,51
51,0.0,Fri Jul 13 19:02:04 +0000 2018,52
52,-0.5423,Fri Jul 13 18:52:04 +0000 2018,53
53,0.0,Fri Jul 13 18:42:05 +0000 2018,54
54,-0.4767,Fri Jul 13 18:22:06 +0000 2018,55
55,0.5267,Fri Jul 13 18:12:02 +0000 2018,56
56,-0.2263,Fri Jul 13 18:02:02 +0000 2018,57
57,-0.34,Fri Jul 13 17:52:05 +0000 2018,58
58,-0.34,Fri Jul 13 17:42:04 +0000 2018,59
59,-0.4588,Fri Jul 13 17:32:05 +0000 2018,60
60,0.0,Fri Jul 13 17:22:17 +0000 2018,61
61,0.0,Fri Jul 13 17:22:05 +0000 2018,62
62,0.4939,Fri Jul 13 17:12:02 +0000 2018,63
63,-0.0772,Fri Jul 13 17:02:05 +0000 2018,64
64,0.0,Fri Jul 13 16:52:05 +0000 2018,65
65,0.0,Fri Jul 13 16:42:04 +0000 2018,66
66,-0.2263,Fri Jul 13 16:32:05 +0000 2018,67
67,-0.3182,Fri Jul 13 16:22:40 +0000 2018,68
68,0.4767,Fri Jul 13 16:15:28 +0000 2018,69
69,-0.2732,Fri Jul 13 16:13:36 +0000 2018,70
70,0.3182,Fri Jul 13 16:12:28 +0000 2018,71
71,0.0,Fri Jul 13 16:12:04 +0000 2018,72
72,-0.7906,Fri Jul 13 16:00:48 +0000 2018,73
73,-0.296,Fri Jul 13 15:52:04 +0000 2018,74
74,0.0,Fri Jul 13 15:42:03 +0000 2018,75
75,0.0,Fri Jul 13 15:32:02 +0000 2018,76
76,-0.4939,Fri Jul 13 15:17:13 +0000 2018,77
77,0.4939,Fri Jul 13 15:12:00 +0000 2018,78
78,0.3818,Fri Jul 13 15:02:06 +0000 2018,79
79,-0.5994,Fri Jul 13 14:52:07 +0000 2018,80
80,0.7778,Fri Jul 13 14:42:07 +0000 2018,81
81,0.0,Fri Jul 13 14:32:08 +0000 2018,82
82,0.4215,Fri Jul 13 14:22:05 +0000 2018,83
83,0.0,Fri Jul 13 14:18:38 +0000 2018,84
84,0.6486,Fri Jul 13 14:12:04 +0000 2018,85
85,-0.4939,Fri Jul 13 14:02:05 +0000 2018,86
86,-0.4019,Fri Jul 13 13:52:04 +0000 2018,87
87,0.0,Fri Jul 13 13:42:04 +0000 2018,88
88,-0.5563,Fri Jul 13 13:32:02 +0000 2018,89
89,-0.2732,Fri Jul 13 13:22:04 +0000 2018,90
90,0.5972,Fri Jul 13 13:17:12 +0000 2018,91
91,-0.5707,Fri Jul 13 13:12:05 +0000 2018,92
92,0.0,Fri Jul 13 13:02:06 +0000 2018,93
93,-0.34,Fri Jul 13 12:52:04 +0000 2018,94
94,0.0,Fri Jul 13 12:42:02 +0000 2018,95
95,0.0,Fri Jul 13 12:37:26 +0000 2018,96
96,-0.5106,Fri Jul 13 12:32:02 +0000 2018,97
97,0.0,Fri Jul 13 12:28:07 +0000 2018,98
98,0.4215,Fri Jul 13 12:22:04 +0000 2018,99
99,0.0,Fri Jul 13 12:12:07 +0000 2018,100
